Epoch	P1	P2	P3	P4	P5	P6	P7	P8
5.9010	0.00629	0.24152	0.27950	0.26963	0.27030	0.26883	0.32928	0.39054
5.9510	0.00610	0.24821	0.28797	0.27477	0.27286	0.27112	0.33237	0.39408
6.0010	0.00623	0.26206	0.29803	0.27865	0.27226	0.26783	0.33007	0.38993
6.0510	0.00583	0.24708	0.28029	0.26131	0.25497	0.24803	0.30275	0.35422
6.1010	0.00588	0.24376	0.27279	0.25259	0.24659	0.24043	0.29341	0.34279
6.1510	0.00605	0.24807	0.27693	0.25702	0.25097	0.24904	0.30125	0.35049
6.2010	0.00574	0.24238	0.26962	0.24624	0.23231	0.22279	0.25813	0.29012
6.2510	0.00551	0.23749	0.26242	0.23391	0.21074	0.19545	0.21648	0.23583
6.3010	0.00500	0.22887	0.25457	0.22617	0.19994	0.18189	0.19582	0.21074
6.3510	0.00490	0.22277	0.24898	0.22465	0.20341	0.18813	0.20806	0.23370
6.4010	0.00458	0.21432	0.24582	0.23026	0.22039	0.21464	0.25079	0.28766
6.4510	0.00478	0.22588	0.26388	0.25363	0.25277	0.25383	0.30531	0.34409
6.5010	0.00502	0.23282	0.27066	0.25967	0.25998	0.26421	0.32648	0.37145
6.5510	0.00558	0.24701	0.28107	0.26630	0.26542	0.26869	0.33456	0.38306
6.6010	0.00523	0.23804	0.27479	0.26141	0.26391	0.26978	0.34376	0.39857
6.6510	0.00526	0.23219	0.26683	0.25339	0.25445	0.25912	0.32786	0.38219
6.7010	0.00525	0.22897	0.26137	0.24578	0.24810	0.25732	0.32371	0.37470
6.7510	0.00534	0.23095	0.26325	0.24756	0.24779	0.25459	0.31597	0.36353
6.8010	0.00538	0.23349	0.26454	0.24933	0.24995	0.25741	0.31908	0.37105
6.8510	0.00580	0.23930	0.26916	0.25257	0.25179	0.25930	0.32232	0.37226
6.9010	0.00550	0.22700	0.25573	0.23922	0.23919	0.24660	0.31033	0.35932
6.9510	0.00557	0.23028	0.25714	0.23885	0.23974	0.24753	0.31059	0.36113
7.0010	0.00572	0.23262	0.25603	0.23802	0.23976	0.24890	0.30763	0.35556
7.0510	0.00581	0.24284	0.26599	0.24533	0.24441	0.25027	0.30806	0.35653
7.1010	0.00499	0.22398	0.24846	0.22990	0.23052	0.23567	0.29386	0.34177
7.1510	0.00525	0.23110	0.25476	0.23558	0.23391	0.23652	0.29392	0.34252
7.2010	0.00522	0.23145	0.25448	0.23406	0.23126	0.23167	0.28656	0.33389
7.2510	0.00457	0.21285	0.23697	0.22050	0.22127	0.22618	0.28458	0.33423
7.3010	0.00476	0.21196	0.23593	0.22020	0.22024	0.22746	0.28494	0.33406
