Epoch	GAN	Discriminative
31.5010	0.69963	2.01361
31.5510	0.66684	2.04766
31.6010	0.59629	2.12698
31.6510	0.62575	2.17051
31.7010	0.60987	2.17403
31.7510	0.65974	2.08883
31.8010	0.70969	2.05597
31.8510	0.69617	2.06757
31.9010	0.73687	1.95903
31.9510	0.70369	1.97754
32.0010	0.70943	2.02179
32.0510	0.70386	1.99639
32.1010	0.74837	2.01373
32.1510	0.66158	2.05572
32.2010	0.72149	1.96095
32.2510	0.76897	1.92042
32.3010	0.75235	2.00837
32.3510	0.73270	1.99807
32.4010	0.78369	1.92656
32.4510	0.77567	1.85189
32.5010	0.77252	1.88254
32.5510	0.73517	1.96043
32.6010	0.77928	1.86134
32.6510	0.73271	2.00192
32.7010	0.73350	1.93496
32.7510	0.68792	2.08206
32.8010	0.72564	2.02296
32.8510	0.77719	1.94436
32.9010	0.81711	1.86109
32.9510	0.79942	1.88234
33.0010	0.68478	2.03775
33.0510	0.74550	1.93279
33.1010	0.75497	1.89882
33.1510	0.77406	1.94300
33.2010	0.71811	1.99521
33.2510	0.67563	2.06328
33.3010	0.68940	2.06285
33.3510	0.72467	1.99393
33.4010	0.72282	1.98494
33.4510	0.67609	2.08896
33.5010	0.63663	2.12721
33.5510	0.59402	2.21267
33.6010	0.57505	2.27206
33.6510	0.60142	2.25580
33.7010	0.65890	2.12428
33.7510	0.72870	2.00373
33.8010	0.76442	1.96082
33.8510	0.76114	1.95560
33.9010	0.72753	2.05533
33.9510	0.69580	2.07698
34.0010	0.72686	1.95501
34.0510	0.81648	1.84218
34.1010	0.72317	1.96372
34.1510	0.69166	1.96665
34.2010	0.73067	2.02387
34.2510	0.81778	1.92081
34.3010	0.76968	1.95549
34.3510	0.69787	1.99734
34.4010	0.67825	2.00803
34.4510	0.75544	1.93571
34.5010	0.68320	2.04632
34.5510	0.69743	2.01562
34.6010	0.76111	1.94503
34.6510	0.75202	1.93433
34.7010	0.84277	1.78585
34.7510	0.83582	1.80565
34.8010	0.73754	1.88291
34.8510	0.71261	2.00193
34.9010	0.76719	1.97024
34.9510	0.78047	1.96222
35.0010	0.71297	2.05988
35.0510	0.66621	2.13795
35.1010	0.71288	2.00400
35.1510	0.68147	2.07623
35.2010	0.72032	1.97990
35.2510	0.75415	1.99456
35.3010	0.80425	1.90162
35.3510	0.77065	1.90080
35.4010	0.76518	1.95641
35.4510	0.73750	1.98115
35.5010	0.73477	1.94095
35.5510	0.69893	1.91545
35.6010	0.70381	1.96066
35.6510	0.73047	1.96231
35.7010	0.70630	2.04254
35.7510	0.75469	1.93606
35.8010	0.73361	1.99144
35.8510	0.69366	1.99774
35.9010	0.76317	1.92881
35.9510	0.80805	1.84844
36.0010	0.75326	1.97223
36.0510	0.67199	2.07032
36.1010	0.65475	2.08496
36.1510	0.69764	2.03018
36.2010	0.72727	2.03551
36.2510	0.68736	2.05835
36.3010	0.69951	2.07227
36.3510	0.74916	1.97044
36.4010	0.74958	1.91195
36.4510	0.70587	1.92899
36.5010	0.66549	1.98051
36.5510	0.76016	1.90708
36.6010	0.75889	1.91546
36.6510	0.80642	1.87579
36.7010	0.84388	1.84917
36.7510	0.79859	1.84812
36.8010	0.76114	1.91110
36.8510	0.76462	1.96083
36.9010	0.74739	1.99323
36.9510	0.73862	2.01461
37.0010	0.69787	2.06850
37.0510	0.72245	2.01202
37.1010	0.69990	2.05216
37.1510	0.74265	1.99327
37.2010	0.78953	1.89159
37.2510	0.74716	1.93485
37.3010	0.80888	1.84404
37.3510	0.80162	1.86667
37.4010	0.87053	1.74252
37.4510	0.79530	1.86586
37.5010	0.84008	1.84732
37.5510	0.84187	1.80233
37.6010	0.80601	1.92251
37.6510	0.79051	1.91515
37.7010	0.80379	1.93177
37.7510	0.80733	1.91659
37.8010	0.82252	1.90657
37.8510	0.81191	1.89069
37.9010	0.73042	1.98153
37.9510	0.75362	1.91627
38.0010	0.69364	1.98206
38.0510	0.68397	1.99899
38.1010	0.76194	1.93768
38.1510	0.81473	1.93146
38.2010	0.73079	2.01624
38.2510	0.76378	1.93822
38.3010	0.71720	1.96997
38.3510	0.75555	1.93325
38.4010	0.65308	2.08897
38.4510	0.78251	1.94583
38.5010	0.78754	1.88650
38.5510	0.87458	1.84740
38.6010	0.76041	2.01240
38.6510	0.79082	1.89806
38.7010	0.73541	1.91091
38.7510	0.75187	1.88405
38.8010	0.73613	1.92884
38.8510	0.71349	1.87238
38.9010	0.69464	1.94176
38.9510	0.74784	1.91276
39.0010	0.77755	1.90696
39.0510	0.78483	1.92305
39.1010	0.79149	1.85652
39.1510	0.85245	1.79274
39.2010	0.69825	2.05519
39.2510	0.57304	2.21141
39.3010	0.62742	2.17577
39.3510	0.68028	2.04450
39.4010	0.71584	1.99910
39.4510	0.74462	2.03148
39.5010	0.69568	2.02993
39.5510	0.67149	2.08368
39.6010	0.72338	2.07349
39.6510	0.70700	2.13275
39.7010	0.60462	2.27761
39.7510	0.72253	2.05576
39.8010	0.71818	2.04730
39.8510	0.71048	2.02627
39.9010	0.70300	2.02840
39.9510	0.62517	2.07356
40.0010	0.58375	2.15977
40.0510	0.58300	2.17576
40.1010	0.65873	2.05158
40.1510	0.77614	1.95201
40.2010	0.84089	1.84970
40.2510	0.86277	1.80912
40.3010	0.77352	1.94092
40.3510	0.76854	1.93162
40.4010	0.73714	1.94065
40.4510	0.68921	1.94592
40.5010	0.70362	1.96386
40.5510	0.75209	1.92981
40.6010	0.68676	2.09148
40.6510	0.67346	2.13340
40.7010	0.70462	2.13392
40.7510	0.69422	2.11562
40.8010	0.75305	2.01576
40.8510	0.79893	1.90069
